Time,应用QPS,padding-polarDB(连接池排队数),Usage-polarDB（连接池使用率）
2025/10/16 21:50,84.3,0,1.6
2025/10/16 21:51,88.7,0,2.6
2025/10/16 21:51,87.2,0,3
2025/10/16 21:51,86.6,0,3.2
2025/10/16 21:51,84.7,0,2
2025/10/16 21:52,55.9,0,0.2
2025/10/16 21:52,37.8,0,0
2025/10/16 21:52,36.7,0,0.4
2025/10/16 21:52,37,0,1
2025/10/16 21:53,10.1,0,0
2025/10/16 21:53,1.73,0,0.4
2025/10/16 21:53,2,0,0.4
2025/10/16 21:53,1.2,0,0.2
2025/10/16 21:54,2.53,0,0.2
2025/10/16 21:54,5.07,0,0
2025/10/16 21:54,3.07,0,0.4
2025/10/16 21:54,3.07,0,0.2
2025/10/16 21:55,3.93,0,0
2025/10/16 21:55,4.4,0,0.6
2025/10/16 21:55,3.93,0,0
2025/10/16 21:55,10.2,0,0.2
2025/10/16 21:56,15.7,0,0.6
2025/10/16 21:56,20.7,0,0
2025/10/16 21:56,21.7,0,0.4
2025/10/16 21:56,22.5,0,0.8
2025/10/16 21:57,21.1,0,0.6
2025/10/16 21:57,28.4,0,1.2
2025/10/16 21:57,52.1,12.6,54
2025/10/16 21:57,68.8,368,100
2025/10/16 21:58,67.5,859,100
2025/10/16 21:58,30.3,892,100
2025/10/16 21:58,30.7,892,100
2025/10/16 21:58,25.5,814,100
2025/10/16 21:59,24.3,137,29.2
2025/10/16 21:59,36.1,0,0.4
2025/10/16 21:59,36.6,0,0.4
2025/10/16 21:59,35.7,0,1.2
2025/10/16 22:00,1.93,0,0
2025/10/16 22:00,2.93,0,0.6
2025/10/16 22:00,1.73,0,0
2025/10/16 22:00,1.8,0,0.2
2025/10/16 22:01,1.67,0,0
2025/10/16 22:01,1.33,0,0.2
2025/10/16 22:01,1.4,0,0.4
2025/10/16 22:01,1.6,0,1
2025/10/16 22:02,1.47,0,0.8
2025/10/16 22:02,2.27,0,0
2025/10/16 22:02,1.47,0,1
2025/10/16 22:02,1.2,0,0
2025/10/16 22:03,2.47,0,0.8
2025/10/16 22:03,2,0,0.2
2025/10/16 22:03,2,0,0.6
2025/10/16 22:03,2.2,0,0.4
2025/10/16 22:04,2.13,0,0.2
2025/10/16 22:04,2.13,0,0.6
2025/10/16 22:04,2.4,0,0.4
2025/10/16 22:04,1.73,0,0
2025/10/16 22:05,2,0,0
2025/10/16 22:05,2.13,0,0.2
2025/10/16 22:05,1.93,0,0
2025/10/16 22:05,1.73,0,0.6
2025/10/16 22:06,2.27,0,0.6
2025/10/16 22:06,2.2,0,0.6
2025/10/16 22:06,1.8,0,0.4
2025/10/16 22:06,1.47,0,0.2
2025/10/16 22:07,2.4,0,0.8
2025/10/16 22:07,2.07,0,0.6
2025/10/16 22:07,2,0,0.4
2025/10/16 22:07,2.73,0,0.6
2025/10/16 22:08,2.2,0,0.4
2025/10/16 22:08,2.6,0,0
2025/10/16 22:08,2.13,0,0
2025/10/16 22:08,1.73,0,0.2
2025/10/16 22:09,1.33,0,0
2025/10/16 22:09,1.87,0,0.2
2025/10/16 22:09,2.2,0,0.4
2025/10/16 22:09,1.87,0,0.6
2025/10/16 22:10,2.07,0,0
2025/10/16 22:10,3.53,0,0.6
2025/10/16 22:10,1.87,0,0.4
2025/10/16 22:10,1.13,0,0
2025/10/16 22:11,1.2,0,0.4